Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
iShares $ Treasury Bd 3-7yr ETF GBPHDist,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_GBP,-
iShares $ Trs Bd 7-10yr ETF EUR H Dist,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_EUR,-
iShares $ Ultrashort Bond ETF USD Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares € Govt Bond 20y TgtDur ETF € Acc,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_EUR,-
iShares 0-5 Year TIPS Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares 10-20 Year Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares 1-3 Year Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares 1-5 Year invmt Grd Corp Bd ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares 20+ Year Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares 3-7 Year Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares 5-10 Year invmt Grd Corp Bd ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares 7-10 Year Treasury Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares Agency Bond ETF,US Dollar,-,-,-,-,-,-,-
iShares Bitcoin Trust ETF,US Dollar,Growth,Growth Strategies,Alternative Growth,Digital Assets,Digital Assets,-,-
iShares Broad USD Invm Grd Corp Bd ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares China Government Bond ETF RMB,Hong Kong Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,-,-
iShares China Large-Cap ETF,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares CMBS ETF,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
iShares Cor MSCI Eurp UCITS ETF EUR Dist,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
iShares Core 30/70 Cnsrv Allc ETF,US Dollar,Diversified,Blended Strategies,Mixed Allocation,Conservative Allocation Funds,Multi Asset,-,-
iShares Core 40/60 Moderate Allc ETF,US Dollar,Diversified,Blended Strategies,Mixed Allocation,Balanced Allocation Funds,Multi Asset,-,-
iShares Core Global Aggt Bd ETF EUR HAcc,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
iShares Core Global Aggt Bd ETF USD Dist,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares Core Global Aggt Bd ETF USD HAcc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares Core MSCI China ETF,Hong Kong Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,-,-
iShares Core MSCI EMU UCITS ETF EUR Acc,Euro,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_Equity_EUR,-
iShares Core MSCI Europe ETF EUR Acc,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
iShares Core MSCI Pac ex-Jpn ETF USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares Core MSCI World ETF USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares Core S&P 500 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P 500 ETF USD Acc,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P 500 ETF USD Dist,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P Mid-Cap ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P Small-Cap ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P Total US Stock Mkt ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P US Growth ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core S&P US Value ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Core US Aggregate Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares Dev Mkts Prpty Yld ETF USD Dist,US Dollar,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Global REITs,-
iShares ESG Aware MSCI EAFE ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares ESG Aware MSCI EM ETF,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
iShares ESG Aware MSCI USA ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares ESG MSCI KLD 400 ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares ESG Optimized MSCI USA ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
iShares Europe ETF,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
iShares European Prpty Yld ETF EUR Dist,Euro,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Alternative Growth_EUR,-
iShares Global Aggt Bd ESG SRIETFUSDHAcc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares Global Comm Services ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares Global Energy ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares Global Financials ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares Global Govt Bond ETF USD Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares Global Healthcare ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares Global Infl Lnkd GovBd ETF $ Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
iShares Global Infrastructure ETF,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Listed Infrastructure,Global Equities,P_Listed Infrastructure,-
iShares Global REIT ETF,US Dollar,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Global REITs,-
iShares Global Tech ETF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
iShares GNMA Bond ETF,US Dollar,-,-,-,-,-,-,-
iShares Gold Trust,US Dollar,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Gold,-
iShares Government/Credit Bond ETF,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
iShares iBoxx $ High Yield Corp Bd ETF,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
